artist,album,release-date,listeners,playcount,tags,ignored tags
Dark Funeral,The Secrets of the Black Arts,1996-01-28,52698,916554,['black metal'],"['swedish black metal', 'albums I own', '1996', 'metal']"
Trivium,Ascendancy,2005-03-07,526917,10799691,"['metalcore', 'thrash metal']","['albums I own', 'metal', '2005']"
Faith No More,The Real Thing,1989-06-20,526463,6855220,['alternative metal'],"['albums I own', 'alternative rock', '1989', 'rock']"
Symphony X,V: The New Mythology Suite,2000-07-26,52630,1610149,['symphonic metal'],"['Progressive metal', 'Power metal', 'albums I own', 'metal']"
Kreator,Phantom Antichrist,2012-05-30,52626,1678974,['thrash metal'],"['albums I own', '2012', 'melodic diarrhea metal', 'jesus i want to vomit']"
Deathspell Omega,Paracletus,2010-11-08,52453,1934403,['black metal'],"['2010', 'progressive black metal', 'Avant-Garde Black Metal', 'Post-Black Metal']"
Wolves in the Throne Room,Diadem Of 12 Stars,2006-02,52420,652306,"['black metal', 'ambient black metal']","['2006', 'atmospheric black metal', 'albums I own']"
Bolt Thrower,The IVth Crusade,1992-10,52400,1181234,['death metal'],"['old school death metal', '1992', 'albums I own', 'metal']"
Morbid Angel,Formulas Fatal To The Flesh,1998-02-04,52147,1025309,['death metal'],"['albums I own', 'old school death metal', '1998', 'metal']"
Bolt Thrower,War Master,1991-09,52053,867606,['death metal'],"['albums I own', 'old school death metal', '1991', 'metal']"
Pantera,Vulgar Display of Power,1992-02-25,519471,12435654,"['thrash metal', 'heavy metal']","['albums I own', 'groove metal', 'metal']"
Spectral Lore,III,2014-05-02,5194,82028,['ambient black metal'],"['2014', 'best of 2014', 'ambient', '10s']"
Type O Negative,"Slow, Deep and Hard",1991-06-04,51759,587171,['doom metal'],"['albums I own', '1991', 'metal', 'Gothic Metal']"
Ensiferum,Unsung Heroes,2012-08-24,51747,1298839,"['folk metal', 'viking metal', 'pagan metal']","['Melodic Death Metal', '2012']"
Motörhead,Ace of Spades,1980-11-08,517223,7168587,['heavy metal'],"['hard rock', 'albums I own', 'metal', '1980']"
Kalmah,The Black Waltz,2006-02-22,51713,1738844,"['death metal', 'heavy metal']","['Melodic Death Metal', 'best of 2006', 'Awesome']"
Autopsy,Severed Survival,1989-05,51696,1101587,['death metal'],"['old school death metal', '1989', 'albums I own', 'metal']"
Wintersun,Time I,2012-10-19,51669,1832413,['symphonic metal'],"['Melodic Death Metal', 'progressive blackened homoerotic weeaboo metal', 'leather daddy rape soundtrack', 'misanthropic gay romance nostalgia metal']"
Darkthrone,The Cult Is Alive,2006-02-27,51636,1043696,"['black metal', 'crust punk']","['Black n Roll', 'albums I own', 'Crust']"
Mithras,Worlds Beyond the Veil,2003-09-29,5120,128274,['death metal'],"['2003', 'Technical Death Metal', 'progressive death metal', 'metal']"
Summoning,Stronghold,1999-05-11,51104,2000955,['black metal'],"['atmospheric black metal', 'epic black metal', '1999', 'albums I own']"
Rotting Christ,Theogonia,2007-01-22,50570,1412824,['black metal'],"['melodic black metal', 'Greek', 'Dark metal', 'metal']"
